call	files	sites
putIfAbsent	1	1
patientIds.toSet	1	1
filterIds.addAll	1	1
dbInterface.compartmentTypeMembers	1	1
ids.addAll	1	1
dbInterface.finishedExportJobsBefore	1	1
root.existsSync	1	1
dbInterface.exportJobIds	1	1
root.list	1	1
lastWhere	1	1
owned.contains	1	1
entry.delete	1	1
favicoHandler	1	1
readAsBytes	1	1
engine.parse	1	1
worker.evaluate	1	1
worker.parse	1	1
insert	1	1
paramList.any	1	1
patientId.substring	1	1
imm.toJson	1	1
cond.toJson	1	1
allergy.toJson	1	1
now.difference	1	1
now.toUtc	1	1
dbInterface.getHistory	1	1
dbInterface.countTypeHistory	1	1
dbInterface.getTypeHistory	1	1
dbInterface.countSystemHistory	1	1
dbInterface.getSystemHistory	1	1
dbInterface.getVersion	1	1
versionedResource.toJsonString	1	1
fhir.BundleRequest	1	1
fhir.FhirInstant.fromDateTime	1	1
dbInterface.unlockAccount	1	1
maps.first.toJson	1	1
runHostedProgram	1	1
structureMap.toJson	1	1
source.toJson	1	1
fhirMappingEngine	1	1
cache.getStructureDefinition	1	1
found.toList	1	1
paramMap.containsKey	1	1
fhir.FhirMeta.fromJson	1	1
existingProfiles.contains	1	1
existingTagKeys.contains	1	1
existingSecKeys.contains	1	1
removeProfiles.contains	1	1
removeTagKeys.contains	1	1
removeSecKeys.contains	1	1
meta.toJson	1	1
forType	1	1
CapabilityStatementSearchParam	1	1
SearchParamType	1	1
e.value..sort	1	1
CapabilityStatement	1	1
CapabilityStatementSoftware	1	1
CapabilityStatementImplementation	1	1
CapabilityStatementRest	1	1
FhirString	1	1
CapabilityStatementSecurity	1	1
CodeableConcept	1	1
Coding	1	1
R4ResourceType.typesAsStrings.map	1	1
SearchParamDefinitions.everythingTypes.contains	1	1
SearchParamDefinitions.exportTypes.contains	1	1
SearchParamDefinitions.documentTypes.contains	1	1
SearchParamDefinitions.validateCodeTypes.contains	1	1
SearchParamDefinitions.lookupTypes.contains	1	1
SearchParamDefinitions.expandTypes.contains	1	1
SearchParamDefinitions.subsumesTypes.contains	1	1
SearchParamDefinitions.translateTypes.contains	1	1
SearchParamDefinitions.preferredIdTypes.contains	1	1
CapabilityStatementResource	1	1
capabilityStatement.toJsonString	1	1
OperationOutcome	1	1
OperationOutcomeIssue	1	1
dbInterface.getAuthorizationCode	1	1
dbInterface.markAuthorizationCodeUsed	1	1
Pkce.verifyCodeChallenge	1	1
dbInterface.consumeAuthorizationCode	1	1
authCode.scope.split	1	1
jwtService.verifyRefreshToken	1	1
scopeStr.split	1	1
_validRoles.contains	1	1
_validRoles.join	1	1
rawPatient.startsWith	1	1
rawPatient.substring	1	1
dbInterface.createUser	1	1
start	1	1
job._run	1	1
customSelect	1	1
count	1	1
getSingle	1	1
db.rebuildSearchIndex	1	1
jobs.start	1	1
request.requestedUri.replace	1	1
SearchParameter	1	1
job.rejected.map	1	1
a.toString	1	1
b.toString	1	1
expand	1	1
resolved.add	1	1
refusedTypes.join	1	1
types.map	1	1
unknownParams.join	1	1
allEntries.add	1	1
refused.join	1	1
filter.trim	1	1
dbInterface.getResourcesWithPagination	1	1
includedResources.map	1	1
includeSpec.split	1	1
dbInterface.referenceTargets	1	1
wanted.keys.toList	1	1
ids.sublist	1	1
take.join	1	1
revincludeSpec.split	1	1
refsByType.values.expand	1	1
refs.join	1	1
existing.first.toJsonString	1	1
HttpDate.parse	1	1
lastUpdated.isAfter	1	1
invalid.join	1	1
withId.toJsonString	1	1
dbInterface.transaction	1	1
body.split	1	1
pair.indexOf	1	1
smartConfigHandler	1	1
p.toJson	1	1
contains.skip	1	1
contains.take	1	1
fhir.ValueSetContains	1	1
filtered.skip	1	1
filtered.take	1	1
filter.toLowerCase	1	1
contains.where	1	1
display.contains	1	1
code.contains	1	1
codeSystem.content.toString	1	1
response.toJsonString	1	1
matches.add	1	1
match	1	1
FhirValidationEngine	1	1
validator.validateFhirMap	1	1
message.contains	1	1
validationResults.results.where	1	1
r.diagnostics.startsWith	1	1
validationResults.toOperationOutcome	1	1
canonical.indexOf	1	1
webSocketHandler	1	1
webSocket.stream.listen	1	1
registry.handleMessage	1	1
Timer	1	1
_pending.clear	1	1
entityRef.split	1	1
queue.add	1	1
_publicPaths.contains	1	1
_publicPrefixes.any	1	1
scopeClaim.split	1	1
SmartScopeEnforcer.allScopesParse	1	1
uncapped.contains	1	1
chunks.add	1	1
Stream.fromIterable	1	1
requestedType.split	1	1
t.trim	1	1
first.trim	1	1
types.any	1	1
supportedTypes.contains	1	1
types.contains	1	1
requestedType.contains	1	1
c.allowMethods.join	1	1
c.allowHeaders.join	1	1
c.exposeHeaders.join	1	1
BackupService._	1	1
create	1	1
BackupCrypto.encrypt	1	1
createFile	1	1
db.copyEncrypted	1	1
restoreFile	1	1
readAsString	1	1
db.restoreEncrypted	1	1
